lcm_sampleID	sample_name	seqID	DNA_plate	fecal_weight	dilution	PBS_added	dilution_material	injection	concentration_mM	sample_type	compound	run	Data_Filename	Ret_Time	Area	Height	Peak_Start	Peak_End	Relative_Retention_Time	r2	slope	intercept	calc_conc	dilfactor	calc_conc_adj.weight	calc_conc_adj.df
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	propionate	1	2016-02-29_010.lcd	20.288	386	19	20.025	20.625	1.182	0.996951240715681	8.57195236040549e-05	0.188259157737751	0.221346893848916	1	1.99212204464025	2.21346893848916
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	pre_sialic_acid	1	2016-02-29_010.lcd	9.081	80196	4578	8.825	9.625	0.529	0.999663211105857	8.31860394503901e-05	-0.0876902571570864	6.5834973626064	1	59.2514762634576	65.8349736260639
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	succinate	1	2016-02-29_010.lcd	13.677	721	38	13.3	13.775	0.797	0.985488486874991	3.94418284419466e-05	-0.145750864831106	-0.117313306524462	1	1.05581975872016	-1.17313306524462
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	raffinose	1	2016-02-29_010.lcd	NA	NA	NA	NA	NA	NA	0.974819847503531	8.22068344323563e-06	-0.127613638453367	0	1	0	0
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	acetate	1	2016-02-29_010.lcd	17.166	5753	171	16.525	17.95	1	0.992372681318625	0.000105227659005264	-0.0992084913405975	0.506166230916688	1	4.55549607825019	5.06166230916688
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	valerate	1	2016-02-29_010.lcd	NA	NA	NA	NA	NA	NA	0.977807152995949	4.68807850965309e-05	-0.0706049450268802	0	1	0	0
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	methanol	1	2016-02-29_010.lcd	21.186	19987	562	20.625	22.3	1.234	0.115975821944317	0.00032116254901771	-2.78198514771207	3.6370907195049	1	32.7338164755441	36.370907195049
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	trehalose	1	2016-02-29_010.lcd	8.537	20215	978	8.3	8.825	0.497	0.973830630819095	7.96310199646967e-06	-0.197045338856983	-0.0360712319983491	1	0.324641087985142	-0.360712319983491
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	fructose_mannitol_sorbitol	1	2016-02-29_010.lcd	NA	NA	NA	NA	NA	NA	0.979632443942551	9.03882514042852e-06	-0.18532033184603	0	1	0	0
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	glucose	1	2016-02-29_010.lcd	10.036	43818	1859	9.65	10.85	0.585	0.983162419942093	1.56494114943179e-05	-0.220141148858149	0.465584763999875	1	4.19026287599887	4.65584763999875
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	sialic_acid	1	2016-02-29_010.lcd	NA	NA	NA	NA	NA	NA	0.98235597286202	6.56755259424248e-05	-0.0548456967751667	0	1	0	0
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	formate	1	2016-02-29_010.lcd	15.78	1732	58	15.475	16.425	0.919	0.989655236928736	0.000258867102687358	0.217132575329809	0.665490397184313	1	5.98941357465882	6.65490397184313
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	lactate	1	2016-02-29_010.lcd	14.294	68092	2360	13.775	15.475	0.833	0.985541565085756	5.26032068566247e-05	-0.224242520469193	3.35761504081209	1	30.2185353673088	33.5761504081209
S_A01	d0_1268_1	d0_1268_1	HUMO34_1	0.0708	0.1	637.2	PBS	0.02	NA	unknown	butyrate	1	2016-02-29_010.lcd	NA	NA	NA	NA	NA	NA	0.976523902904789	4.90659905695189e-05	-0.0666674375530043	0	1	0	0
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	sialic_acid	1	2016-02-29_011.lcd	NA	NA	NA	NA	NA	NA	0.98235597286202	6.56755259424248e-05	-0.0548456967751667	0	1	0	0
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	succinate	1	2016-02-29_011.lcd	13.637	1065	51	13.3	13.85	0.794	0.985488486874991	3.94418284419466e-05	-0.145750864831106	-0.103745317540433	1	0.933707857863894	-1.03745317540433
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	butyrate	1	2016-02-29_011.lcd	NA	NA	NA	NA	NA	NA	0.976523902904789	4.90659905695189e-05	-0.0666674375530043	0	1	0	0
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	valerate	1	2016-02-29_011.lcd	NA	NA	NA	NA	NA	NA	0.977807152995949	4.68807850965309e-05	-0.0706049450268802	0	1	0	0
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	pre_sialic_acid	1	2016-02-29_011.lcd	9.081	76585	4341	8.825	9.625	0.529	0.999663211105857	8.31860394503901e-05	-0.0876902571570864	6.28311257415104	1	56.5480131673593	62.8311257415104
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	trehalose	1	2016-02-29_011.lcd	8.542	28505	1387	8.3	8.825	0.497	0.973830630819095	7.96310199646967e-06	-0.197045338856983	0.0299428835523844	1	0.26948595197146	0.299428835523844
S_A02	d0_1275_1	d0_1275_1	HUMO34_1	0.0433	0.1	389.7	PBS	0.02	NA	unknown	raffinose	1	2016-02-29_011.lcd	NA	NA	NA	NA	NA	NA	0.974819847503531	8.22068344323563e-06	-0.127613638453367	0	1	0	0
