grp	r2	slope	intercept
raffinose	0.997849741980942	8.98929187399642e-06	-0.0529397468455499
pre_sialic_acid	1	0.000110747870556767	0.0176509675719044
glucose	0.998749425612189	1.79260652847672e-05	-0.0910011130448455
lactate	0.995168417997011	6.70227785050752e-05	-0.0787531047287584
trehalose	0.99838599525509	9.86642447694007e-06	-0.0959117805871634
sialic_acid	0.975480397743472	0.000107384452787503	-0.00729976651525041
valerate	0.9994803135492	5.29305011635031e-05	-0.0288522385329175
butyrate	0.999297193877136	5.65455123607553e-05	-0.0431112505518661
fructose_mannitol_sorbitol	0.997921198881835	1.10512663522928e-05	-0.0958161049976558
formate	0.990821357154348	0.000328952219608176	0.00712130075228691
methanol	0.295973852877351	0.00188820899374662	-35.3390828467427
isobutyrate	0.977083923320228	0.00430612033818978	-1.79203496717834
succinate	0.998510771109234	4.1481939572162e-05	-0.0590020616010252
propionate	0.998138713001352	8.71426458471357e-05	0.0629647675217959
acetate	0.999696877847068	0.000119101327095025	-0.0284861612956069
