compound	run	Data_Filename	Sample_ID	Sample_Type	Level	Ret_Time	Area	Height	ISTD_Area	ISTD_Height	Area_Ratio	Height_Ratio	Conc	Std_Conc	Deviation	percDev	Accuracy	QC_Check_Results	Mark	Peak_Start	Peak_End	TPlatenum	HETP	meter	Tailing_F	Tailing_F10perc	Resolution	k	Separation_F	Areaperc	Heightperc	USP_Width	Width5perc	Width10perc	Width50perc	Relative_Retention_Time
raffinose	1	2016-02-29_053.lcd	STD-0015	Standard	2	7.778	17678	892	NA	NA	NA	NA	0.17315	0.25	-0.07685	-30.74	69.3	NA	NA	7.6	8.175	3405.686	44.044	22704.576	NA	NA	NA	0.034	0	14.0198	19.169	0.533	0	0	0.319	0.451
raffinose	1	2016-02-29_052.lcd	STD-0014	Standard	3	7.766	46846	2188	NA	NA	NA	NA	0.45884	0.5	-0.04116	-8.23	91.8	NA	NA	7.55	8.175	2899.586	51.732	19330.576	NA	NA	NA	0	0	18.3979	23.2376	0.577	0	0	0.344	0.45
raffinose	1	2016-02-29_051.lcd	STD-0013	Standard	4	7.751	104461	4640	NA	NA	NA	NA	1.02318	1	0.02318	2.32	102.3	NA	NA	7.525	8.175	2624.191	57.16	17494.604	NA	NA	NA	0	0	21.1112	25.4535	0.605	0	0	0.359	0.45
raffinose	1	2016-02-29_050.lcd	STD-0012	Standard	5	7.739	294006	12876	NA	NA	NA	NA	2.87972	2.5	0.37972	15.19	115.2	NA	NA	7.475	8.15	2464.752	60.858	16431.683	NA	NA	NA	0	0	22.0165	26.7178	0.624	0	0	0.366	0.45
raffinose	1	2016-02-29_049.lcd	STD-0011	Standard	6	7.74	552797	24093	NA	NA	NA	NA	5.4145200000000004	5	0.41452	8.29	108.3	NA	NA	7.475	8.15	2432.269	61.671	16215.128	NA	NA	3.998	17.635	6.51	21.4234	26.0313	0.628	0	0	0.368	0.45
raffinose	1	2016-02-29_001.lcd	BLANK	Control	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_002.lcd	STD-0009	Unknown	NA	7.709	2499908	111129	NA	NA	NA	NA	24.486	NA	NA	NA	NA	NA	NA	7.425	8.125	2612.889	57.408	17419.262	NA	NA	NA	0	0	22.0683	26.4227	0.603	0	0	0.353	0.45
raffinose	1	2016-02-29_003.lcd	STD-0010	Unknown	NA	7.715	1570239	70424	NA	NA	NA	NA	15.38012	NA	NA	NA	NA	NA	NA	7.45	8.125	2655.477	56.487	17703.182	NA	NA	NA	0	0	22.7963	27.0619	0.599	0	0	0.351	0.45
raffinose	1	2016-02-29_004.lcd	STD-0011	Unknown	NA	7.723	722710	32808	NA	NA	NA	NA	7.07877	NA	NA	NA	NA	NA	NA	7.45	8.125	2723.349	55.079	18155.662	NA	NA	NA	0	0	22.0423	26.5823	0.592	0	0	0.348	0.449
raffinose	1	2016-02-29_005.lcd	STD-0012	Unknown	NA	7.721	454748	20634	NA	NA	NA	NA	4.45415	NA	NA	NA	NA	NA	NA	7.45	8.125	2722.563	55.095	18150.419	NA	NA	NA	0	0	22.748	27.1429	0.592	0	0	0.348	0.45
raffinose	1	2016-02-29_006.lcd	STD-0013	Unknown	NA	7.716	181418	8334	NA	NA	NA	NA	1.77694	NA	NA	NA	NA	NA	NA	7.475	8.125	2811.912	53.344	18746.078	NA	NA	NA	0	0	21.9049	26.3035	0.582	0	0	0.343	0.45
raffinose	1	2016-02-29_007.lcd	STD-0014	Unknown	NA	7.726	65803	3178	NA	NA	NA	NA	0.64452	NA	NA	NA	NA	NA	NA	7.5	8.125	3185.696	47.085	21237.972	NA	NA	NA	0	0	19.2873	24.1518	0.548	0	0	0.327	0.45
raffinose	1	2016-02-29_008.lcd	STD-0015	Unknown	NA	7.736	23458	1247	NA	NA	NA	NA	0.22977	NA	NA	NA	NA	NA	NA	7.55	8.125	3943.984	38.033	26293.23	NA	NA	NA	0	0	14.7856	20.4402	0.493	0	0	0.296	0.45
