description	category
LYSDEGII-PWY	Amino-Acid-Degradation
PWY-5280	Amino-Acid-Degradation
PWY-5324	Amino-Acid-Degradation
PWY-5283	Amino-Acid-Degradation
PWY-5298	Amino-Acid-Degradation
PWY-5311	Amino-Acid-Degradation
PWY-5314	Amino-Acid-Degradation
PWY-6328	Amino-Acid-Degradation
LYSINE-DEG1-PWY	Amino-Acid-Degradation
METHIONINE-DEG1-PWY	Amino-Acid-Degradation
PWY-701	Amino-Acid-Degradation
PWY-5082	Amino-Acid-Degradation
PWY-8431	Amino-Acid-Degradation
PHENYLALANINE-DEG1-PWY	Amino-Acid-Degradation
ANAPHENOXI-PWY	Amino-Acid-Degradation
PWY-5079	Amino-Acid-Degradation
PWY-6318	Amino-Acid-Degradation
PWY-7158	Amino-Acid-Degradation
PROUT-PWY	Amino-Acid-Degradation
SERDEG-PWY	Amino-Acid-Degradation
THREONINE-DEG2-PWY	Amino-Acid-Degradation
THRDLCTCAT-PWY	Amino-Acid-Degradation
PWY-5436	Amino-Acid-Degradation
PWY66-428	Amino-Acid-Degradation
TRPCAT-PWY	Amino-Acid-Degradation
TRYPDEG-PWY	Amino-Acid-Degradation
TRPKYNCAT-PWY	Amino-Acid-Degradation
PWY-5651	Amino-Acid-Degradation
PWY-3162	Amino-Acid-Degradation
PWY-5081	Amino-Acid-Degradation
PWY-6307	Amino-Acid-Degradation
TYRFUMCAT-PWY	Amino-Acid-Degradation
PWY-5151	Amino-Acid-Degradation
PWY3O-4108	Amino-Acid-Degradation
PWY-7514	Amino-Acid-Degradation
VALDEG-PWY	Amino-Acid-Degradation
PWY-5057	Amino-Acid-Degradation
PWY-7515	Amino-Acid-Degradation
HYDROXYPRODEG-PWY	Amino-Acid-Degradation
PWY-5159	Amino-Acid-Degradation
ARGDEGRAD-PWY	Amino-Acid-Degradation
ASPARAGINE-DEG1-PWY-1	Amino-Acid-Degradation
TRYPTOPHAN-DEGRADATION-1	Amino-Acid-Degradation
PWY-5655	Amino-Acid-Degradation
PWY-6309	Amino-Acid-Degradation
PWY-6505	Amino-Acid-Degradation
ORNARGDEG-PWY	Amino-Acid-Degradation
ARGDEG-PWY	Amino-Acid-Degradation
PWY-5327	Amino-Acid-Degradation
PWY-5328	Amino-Acid-Degradation
THREOCAT-PWY	Amino-Acid-Degradation
PWY-8015	Amino-Acid-Degradation
PWY-8189	Amino-Acid-Degradation
PWY-8187	Amino-Acid-Degradation
PWY-6344	Amino-Acid-Degradation
P162-PWY	Amino-Acid-Degradation
PWY-8190	Amino-Acid-Degradation
PWY-8184	Amino-Acid-Degradation
PWY-7767	Amino-Acid-Degradation
PWY-8185	Amino-Acid-Degradation
P163-PWY	Amino-Acid-Degradation
PWY-8014	Amino-Acid-Degradation
PWY-8186	Amino-Acid-Degradation
PWY-5437	Amino-Acid-Degradation
PWY-8016	Amino-Acid-Degradation
PWY-8183	Amino-Acid-Degradation
PWY-8188	Amino-Acid-Degradation
GLUDEG-II-PWY	Amino-Acid-Degradation
PWY-5088	Amino-Acid-Degradation
PWY-8017	Amino-Acid-Degradation
PWY-4021	Amino-Acid-Degradation
PWY-5329	Amino-Acid-Degradation
GLYCGREAT-PWY	Amino-Acid-Degradation
PROPFERM-PWY	Amino-Acid-Degradation
PWY-4041	Amino-Acid-Degradation
PWY-5921	Aminoacyl-tRNAs-Charging
TRNA-CHARGING-PWY	Aminoacyl-tRNAs-Charging
PWY-6828	Antibiotic-Resistance
PWY-7096	Antibiotic-Resistance
PWY-6454	Antibiotic-Resistance
PWY-6455	Antibiotic-Resistance
PWY0-1338	Antibiotic-Resistance
PWY-6471	Antibiotic-Resistance
PWY-6470	Antibiotic-Resistance
PWY-7808	Antibiotic-Resistance
PWY-7749	Aromatic-Compound-Biosynthesis
PWY-5901	Aromatic-Compound-Biosynthesis
PWY-7460	Aromatic-Compound-Biosynthesis
PWY-5886	Aromatic-Compound-Biosynthesis
PWY-7304	Aromatic-Compound-Biosynthesis
PWY-6543	Aromatic-Compound-Biosynthesis
PWY-8276	Aromatic-Compound-Biosynthesis
PWY-8281	Aromatic-Compound-Biosynthesis
PWY-7303	Aromatic-Compound-Biosynthesis
PWY-5754	Aromatic-Compound-Biosynthesis
PWY-5755	Aromatic-Compound-Biosynthesis
PWY-6435	Aromatic-Compound-Biosynthesis
PWY-6431	Aromatic-Compound-Biosynthesis
PWY-8463	Aromatic-Compound-Biosynthesis
PWY-5161	Aromatic-Compound-Biosynthesis
PWY-5061	Aromatic-Compound-Biosynthesis
PWY-6835	Aromatic-Compound-Biosynthesis
PWY-5479	Aromatic-Compound-Biosynthesis
PWY-5119	Aromatic-Compound-Biosynthesis
PWY-5802	Aromatic-Compound-Biosynthesis
PWY-8476	Aromatic-Compound-Biosynthesis
PWY-6010	Aromatic-Compound-Biosynthesis
PWY-7682	Aromatic-Compound-Biosynthesis
PWY-7631	Aromatic-Compound-Biosynthesis
PWY-7080	Aromatic-Compound-Biosynthesis
PWY-7518	Aromatic-Compound-Biosynthesis
PWY-1901	Aromatic-Compound-Biosynthesis
PWY-8157	Aromatic-Compound-Biosynthesis
PWY-7212	Aromatic-Compound-Biosynthesis
PWY-6444	Aromatic-Compound-Biosynthesis
PWY-7468	Aromatic-Compound-Biosynthesis
PWY-6458	Aromatic-Compound-Biosynthesis
PWY-6323	Aromatic-Compound-Biosynthesis
PWY-7931	Aromatic-Compound-Biosynthesis
PWY-6673	Aromatic-Compound-Biosynthesis
PWY-6039	Aromatic-Compound-Biosynthesis
PWY-6040	Aromatic-Compound-Biosynthesis
PWY-5363	Aromatic-Compound-Biosynthesis
PWY-6232	Aromatic-Compound-Biosynthesis
PWY-5968	Aromatic-Compound-Biosynthesis
PWY-6457	Aromatic-Compound-Biosynthesis
PWY-7643	Aromatic-Compound-Biosynthesis
PWY-5476	Aromatic-Compound-Biosynthesis
PWY-5176	Aromatic-Compound-Biosynthesis
PWY-7398	Aromatic-Compound-Biosynthesis
PWY-6332	Aromatic-Compound-Biosynthesis
PWY-5821	Aromatic-Compound-Biosynthesis
PWY-5825	Aromatic-Compound-Biosynthesis
PWY-7055	Aromatic-Compound-Biosynthesis
PWY-6302	Aromatic-Compound-Biosynthesis
PWY-6820	Aromatic-Compound-Biosynthesis
PWY-8088	Aromatic-Compound-Biosynthesis
PWY-6325	Aromatic-Compound-Biosynthesis
PWY-5882	Aromatic-Compound-Biosynthesis
PWY-5349	Aromatic-Compound-Biosynthesis
PWY-7058	Aromatic-Compound-Biosynthesis
PWY-5859	Aromatic-Compound-Biosynthesis
PWY-5168	Aromatic-Compound-Biosynthesis
PWY1F-FLAVSYN	Aromatic-Compound-Biosynthesis
PWY-6787	Aromatic-Compound-Biosynthesis
PWY-7897	Aromatic-Compound-Biosynthesis
PWY-7168	Aromatic-Compound-Biosynthesis
PWY-7171	Aromatic-Compound-Biosynthesis
PWY-7172	Aromatic-Compound-Biosynthesis
PWY-3101	Aromatic-Compound-Biosynthesis
PWY-2181	Aromatic-Compound-Biosynthesis
PWY-6707	Aromatic-Compound-Biosynthesis
PWY-5477	Aromatic-Compound-Biosynthesis
PWY-7448	Aromatic-Compound-Biosynthesis
PWY-7145	Aromatic-Compound-Biosynthesis
PWY18C3-20	Aromatic-Compound-Biosynthesis
PWY-7079	Aromatic-Compound-Biosynthesis
PWY-7495	Aromatic-Compound-Biosynthesis
PWY18C3-23	Aromatic-Compound-Biosynthesis
PWY-5105	Aromatic-Compound-Biosynthesis
PWY-7630	Aromatic-Compound-Biosynthesis
PWY-7632	Aromatic-Compound-Biosynthesis
PWY-6401	Aromatic-Compound-Biosynthesis
PWY-7461	Aromatic-Compound-Biosynthesis
PWY-5780	Aromatic-Compound-Biosynthesis
PWY-8340	Aromatic-Compound-Biosynthesis
PWY-6024	Aromatic-Compound-Biosynthesis
PWY-5795	Aromatic-Compound-Biosynthesis
PWY-6824	Aromatic-Compound-Biosynthesis
PWY-7166	Aromatic-Compound-Biosynthesis
PWY-7191	Aromatic-Compound-Biosynthesis
PWY-7143	Aromatic-Compound-Biosynthesis
PWY-5320	Aromatic-Compound-Biosynthesis
PWY-8103	Aromatic-Compound-Biosynthesis
PWY-5801	Aromatic-Compound-Biosynthesis
PWY-5152	Aromatic-Compound-Biosynthesis
PWY1F-823	Aromatic-Compound-Biosynthesis
PWY-5365	Aromatic-Compound-Biosynthesis
PWY-5060	Aromatic-Compound-Biosynthesis
PWY-6239	Aromatic-Compound-Biosynthesis
PWY-7444	Aromatic-Compound-Biosynthesis
PWY-5466	Aromatic-Compound-Biosynthesis
PWY-5793	Aromatic-Compound-Biosynthesis
PWY-6064	Aromatic-Compound-Biosynthesis
PWY18C3-22	Aromatic-Compound-Biosynthesis
PWY-7140	Aromatic-Compound-Biosynthesis
PWY-7397	Aromatic-Compound-Biosynthesis
PWY-6602	Aromatic-Compound-Biosynthesis
PWY-5094	Aromatic-Compound-Biosynthesis
PWY-7298	Aromatic-Compound-Biosynthesis
PWY-5787	Aromatic-Compound-Biosynthesis
PWY-7188	Aromatic-Compound-Biosynthesis
PWY-5475	Aromatic-Compound-Biosynthesis
PWY-6320	Aromatic-Compound-Biosynthesis
PWY-5751	Aromatic-Compound-Biosynthesis
PWY1F-467	Aromatic-Compound-Biosynthesis
PWY-6515	Aromatic-Compound-Biosynthesis
PWY-5059	Aromatic-Compound-Biosynthesis
PWY-7189	Aromatic-Compound-Biosynthesis
PWY-7932	Aromatic-Compound-Biosynthesis
PWY-7934	Aromatic-Compound-Biosynthesis
PWY-7929	Aromatic-Compound-Biosynthesis
PWY-7163	Aromatic-Compound-Biosynthesis
PWY-7160	Aromatic-Compound-Biosynthesis
PWY-7161	Aromatic-Compound-Biosynthesis
PWY-7150	Aromatic-Compound-Biosynthesis
PWY-7151	Aromatic-Compound-Biosynthesis
PWY-5118	Aromatic-Compound-Biosynthesis
PWY-641	Aromatic-Compound-Biosynthesis
PWY-6665	Aromatic-Compound-Biosynthesis
PWY-7930	Aromatic-Compound-Biosynthesis
PWY-8210	Aromatic-Compound-Biosynthesis
PWY-7192	Aromatic-Compound-Biosynthesis
PWY-7137	Aromatic-Compound-Biosynthesis
PWY-5321	Aromatic-Compound-Biosynthesis
PWY-6199	Aromatic-Compound-Biosynthesis
PWY-5048	Aromatic-Compound-Biosynthesis
PWY-5049	Aromatic-Compound-Biosynthesis
PWY-6427	Aromatic-Compound-Biosynthesis
PWY-5775	Aromatic-Compound-Biosynthesis
PWY-6425	Aromatic-Compound-Biosynthesis
PWY-5390	Aromatic-Compound-Biosynthesis
PWY-6766	Aromatic-Compound-Biosynthesis
PWY-6763	Aromatic-Compound-Biosynthesis
PWY-6406	Aromatic-Compound-Biosynthesis
PWY-8321	Aromatic-Compound-Biosynthesis
PWY-981	Aromatic-Compound-Biosynthesis
PWY-7325	Aromatic-Compound-Biosynthesis
PWY-6792	Aromatic-Compound-Biosynthesis
PWY-5469	Aromatic-Compound-Biosynthesis
PWY-5701	Aromatic-Compound-Biosynthesis
PWY-3301	Aromatic-Compound-Biosynthesis
PWY-6914	Aromatic-Compound-Biosynthesis
PWY-5987	Aromatic-Compound-Biosynthesis
PWY-7935	Aromatic-Compound-Biosynthesis
PWY-5391	Aromatic-Compound-Biosynthesis
PWY-5867	Aromatic-Compound-Biosynthesis
PWY-6631	Aromatic-Compound-Biosynthesis
PWY-7995	Aromatic-Compound-Biosynthesis
PWY-6982	Aromatic-Compound-Biosynthesis
PWY-5665	Aromatic-Compound-Biosynthesis
PWY-5729	Aromatic-Compound-Biosynthesis
PWY-6015	Aromatic-Compound-Biosynthesis
PWY-7213	Aromatic-Compound-Biosynthesis
PWY-5135	Aromatic-Compound-Biosynthesis
PWY-8104	Aromatic-Compound-Biosynthesis
PWY-7748	Aromatic-Compound-Biosynthesis
PWY-7629	Aromatic-Compound-Biosynthesis
PWY-116	Aromatic-Compound-Biosynthesis
PWY-5319	Aromatic-Compound-Biosynthesis
PWY-361	Aromatic-Compound-Biosynthesis
PWY-5926	Aromatic-Compound-Biosynthesis
PWY-7057	Aromatic-Compound-Biosynthesis
PWY-7056	Aromatic-Compound-Biosynthesis
PWY-6035	Aromatic-Compound-Biosynthesis
PWY-6029	Aromatic-Compound-Biosynthesis
PWY18C3-21	Aromatic-Compound-Biosynthesis
PWY-7498	Aromatic-Compound-Biosynthesis
PWY-4203	Aromatic-Compound-Biosynthesis
PWY-4201	Aromatic-Compound-Biosynthesis
PWY-6801	Aromatic-Compound-Biosynthesis
PWY-7487	Aromatic-Compound-Biosynthesis
PWY-7633	Aromatic-Compound-Biosynthesis
PWY-5339	Aromatic-Compound-Biosynthesis
PWY-4421	Aromatic-Compound-Biosynthesis
PWY-7157	Aromatic-Compound-Biosynthesis
PWY-5348	Aromatic-Compound-Biosynthesis
PWY-7129	Aromatic-Compound-Biosynthesis
PWY-7173	Aromatic-Compound-Biosynthesis
PWY-7139	Aromatic-Compound-Biosynthesis
PWY-83	Aromatic-Compound-Biosynthesis
PWY-7491	Aromatic-Compound-Biosynthesis
PWY-6443	Aromatic-Compound-Biosynthesis
PWY-6446	Aromatic-Compound-Biosynthesis
PWY-5478	Aromatic-Compound-Biosynthesis
PWY-3097	Aromatic-Compound-Biosynthesis
PWY-8094	Aromatic-Compound-Biosynthesis
PWY18C3-25	Aromatic-Compound-Biosynthesis
PWY-7933	Aromatic-Compound-Biosynthesis
PWY-7149	Aromatic-Compound-Biosynthesis
PWY-2055	Aromatic-Compound-Biosynthesis
PWY-2229	Aromatic-Compound-Biosynthesis
PWY-5071	Aromatic-Compound-Biosynthesis
PWY-7186	Aromatic-Compound-Biosynthesis
PWY-2467	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2761	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2464	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2463	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5765	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7076	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5979	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
